chapter,section,is_internal_note,body_words,heading_words,table_words,box_caption_words,citation_marker_count,paragraph_count,equation_count,section_total_words,pct_of_document_total
FRONT_MATTER,Title and status note,True,317,0,0,0,0,3,0,317,0.71
1. Introduction,(chapter preamble),False,1076,2,0,28,6,10,0,1106,2.47
2. Review Methodology and Evidence Synthesis,(chapter preamble),False,0,6,0,0,0,0,0,6,0.01
2. Review Methodology and Evidence Synthesis,2.1 Review type and scope,False,109,5,0,0,0,1,0,114,0.25
2. Review Methodology and Evidence Synthesis,2.2 Search process used for this draft,False,238,7,0,0,0,2,0,245,0.55
2. Review Methodology and Evidence Synthesis,2.3 Source verification procedure and its limitations — read before citing any number in this draft,False,311,16,0,0,0,4,0,327,0.73
2. Review Methodology and Evidence Synthesis,2.4 Terminology and developmental background (compressed),False,290,6,70,0,6,3,0,366,0.82
2. Review Methodology and Evidence Synthesis,"2.5 Application taxonomy, organized by inference goal",False,44,7,88,0,3,2,0,139,0.31
2. Review Methodology and Evidence Synthesis,2.6 Scope boundaries,False,61,3,0,0,2,1,0,64,0.14
3. WBE as an Inverse Problem: Source-to-Sample Signal Formation,(chapter preamble),False,0,9,0,0,0,0,0,9,0.02
3. WBE as an Inverse Problem: Source-to-Sample Signal Formation,3.0 Formal problem statement,False,567,4,0,0,0,8,33,571,1.28
3. WBE as an Inverse Problem: Source-to-Sample Signal Formation,3.1 Source-End Biological and Behavioral Variation,False,473,6,0,0,2,5,4,479,1.07
3. WBE as an Inverse Problem: Source-to-Sample Signal Formation,3.2 Building and Local Drainage Processes,False,215,6,0,0,0,2,1,221,0.49
4. Signal Distortion in Sewer Transport: From Transformation to Identifiability,(chapter preamble),False,97,10,0,0,0,1,0,107,0.24
4. Signal Distortion in Sewer Transport: From Transformation to Identifiability,"4.1 Physical, Chemical, and Biological Transformation in Transit — Amplitude and Temporal Effects",False,389,13,0,0,2,4,2,402,0.90
4. Signal Distortion in Sewer Transport: From Transformation to Identifiability,4.2 Rainfall- and Warm-Season-Induced Distortion — A Compound Perturbation,False,447,9,0,0,5,2,1,456,1.02
4. Signal Distortion in Sewer Transport: From Transformation to Identifiability,4.3 Identifiability and the Case for Process-Informed Correction,False,441,8,0,0,3,4,8,449,1.00
"5. Sampling, Analytical Methods, and Quality Assurance: A Second Round of Distortion",(chapter preamble),False,0,12,0,0,0,0,0,12,0.03
"5. Sampling, Analytical Methods, and Quality Assurance: A Second Round of Distortion","5.0 Bridge from Chapters 1–4, Notation, and Two Observation Models",False,748,10,0,0,0,11,28,758,1.70
"5. Sampling, Analytical Methods, and Quality Assurance: A Second Round of Distortion",5.1 Sampling Location — A Further Spatial-Distortion and Identifiability Choice,False,372,10,0,0,0,4,0,382,0.85
"5. Sampling, Analytical Methods, and Quality Assurance: A Second Round of Distortion",5.2 Sampling Mode — Amplitude and Temporal Distortion at the Point of Collection,False,491,13,0,0,2,3,4,504,1.13
"5. Sampling, Analytical Methods, and Quality Assurance: A Second Round of Distortion","5.3 Sample Matrix — Liquid, Particulate, Settled Solids, and Sludge",False,277,10,0,0,1,2,0,287,0.64
"5. Sampling, Analytical Methods, and Quality Assurance: A Second Round of Distortion","5.4 Preservation, Pre-Treatment, Concentration, and Extraction",False,283,6,0,0,1,2,2,289,0.65
"5. Sampling, Analytical Methods, and Quality Assurance: A Second Round of Distortion","5.5 Six Concepts That Should Not Be Collapsed Into One ""Uncertainty""",False,945,11,0,0,1,5,6,956,2.14
"5. Sampling, Analytical Methods, and Quality Assurance: A Second Round of Distortion",5.6 Differential Behavior Across Target Classes: Applying the Two Observation Models,False,421,11,0,0,1,3,13,432,0.97
"5. Sampling, Analytical Methods, and Quality Assurance: A Second Round of Distortion","5.7 Carrying Sampling and Analytical Uncertainty Forward: Bias, Random Error, and Information Loss",False,718,13,0,0,0,6,8,731,1.63
