priority,target_section,paragraph_id,exact_claim,claim_type,current_reference,current_evidence_level,current_support_scope,identified_overextension,evidence_needed,preferred_evidence_type,preferred_study_design,minimum_number_of_settings,database_search_concepts,candidate_search_query,full_text_required,decision_if_unresolved,status
P0,3.2,P3-3,"Sewer biofilms are an active sink for viral RNA rather than an inert surface; laboratory reactor studies report substantial RNA loss within hours of biofilm exposure, and combined batch-decay/pipeline-simulator work identifies microbial activity, rather than chemical hydrolysis, as the dominant driver of that loss, with decay increasing measurably as a function of transport distance.",Mechanistic,[16] Zhang et al. 2023; [9] Jung et al. 2026,Abstract-checked,Each study supports its own lab-reactor/simulator finding; not yet confirmed this generalizes beyond the specific conditions tested,"None found -- condensed text already avoids the unconfirmed 90%-in-2-hours figure; the mechanistic claim itself needs direct experimental confirmation, not just abstract-level trust","Full text confirming experimental design, biofilm colonization method, and whether microbial-activity-dominance was directly measured (e.g., biocide-inhibition control) rather than inferred",Primary experimental study with direct mechanistic manipulation (biocide/sterilization control arm),Controlled laboratory reactor or pipeline-simulator experiment with a microbial-activity-inhibited control arm,1 (mechanism); 2+ preferred for triangulation,sewer biofilm; SARS-CoV-2 RNA decay; wastewater pipe reactor; microbial degradation wastewater,"(""sewer biofilm"" OR ""pipe biofilm"") AND (""RNA decay"" OR ""viral RNA degradation"") AND (wastewater OR sewer)",yes,"narrow -- if full text not obtained, narrow to 'laboratory studies report...' explicitly flagged as lab-condition-specific, not confirmed generalizable to field sewers",Pending full-text acquisition
P0,3.4,P3-6,"Rainfall is not merely dilution. It enters sewer networks through two structurally different pathways... that together dilute measured concentration, but also resuspend settled sediment, shorten hydraulic retention time..., and shift the relative contribution of different sub-catchments to the composite signal.",Mechanistic,None directly cited in this paragraph (evidence follows in P3-7),Conceptual synthesis based on preceding process evidence,"Not applicable -- mechanism statement, not yet evidence-anchored in this specific paragraph","None identified -- paragraph is explicitly a mechanism statement, not a citation-bearing empirical claim",Direct hydraulic/water-quality studies demonstrating each named sub-mechanism (sediment resuspension during storms; retention-time shortening; sub-catchment weight shift) individually,Field hydraulic monitoring study with paired dry/wet-weather sampling,"Paired or multi-event field study measuring flow, retention time, and sediment resuspension under both dry and wet conditions",2 (to distinguish general mechanism from one network's specific behavior),combined sewer overflow; inflow infiltration; sediment resuspension storm; hydraulic retention time rainfall,"(""inflow and infiltration"" OR ""combined sewer overflow"") AND (""sediment resuspension"" OR ""retention time"") AND (wastewater OR sewer)",yes,"retain -- this is an established sanitary/environmental engineering mechanism independent of WBE-specific literature; if WBE-specific confirmation is not found, cite general hydraulic-engineering literature explicitly rather than implying WBE-specific validation",Pending targeted search (Addendum module 2)
P0,3.4,P3-7,"A large multi-plant national wastewater surveillance program found that explicitly correcting concentration data for rainfall impact substantially improved correlation with independent clinical case counts relative to uncorrected data... direct evidence that rainfall behaves as a correctable, structured bias.",Empirical/performance,[8] Janssens et al. 2022,Abstract-checked,Single national program (Belgium); 'substantially improved' not quantified in condensed text; generalizability to other countries/climates not established,None found in current text (already hedged as 'one case in this evidence base'); but the underlying single-study status is a structural gap given this is the review's single strongest process-informed-correction evidence anchor,"Full text confirming actual correlation-improvement magnitude, statistical significance, and whether the finding replicates in a second country/climate","Primary empirical study, ideally 2+ independent countries/programs",Before/after or paired comparison of rainfall-corrected vs. uncorrected wastewater-clinical correlation,2 (currently only 1 -- Belgium),rainfall correction wastewater surveillance; wet weather wastewater signal correction; SARS-CoV-2 wastewater rainfall,"(wastewater surveillance) AND (rainfall OR ""wet weather"") AND (correction OR adjustment) AND (correlation OR validation)",yes,"narrow -- if no second setting is found, narrow text to 'In the studied Belgian program...' per the cross-city evidentiary rule",Pending full-text acquisition + targeted search for a second setting
P0,3.5,P3-9,...flow normalization outperforming biomarker normalization in some large multi-site comparisons... while becoming unreliable under substantial inflow and infiltration in others...: the two findings together indicate that no single fixed correction factor is identifiable across all hydraulic conditions.,Cross-site generalization,[13] Rainey et al. 2023; [3] Darling et al. 2025,Abstract-checked,"Each study supports its own single condition (Rainey: 182 communities/6 states; Darling: rural, high-I&I sewersheds); 'no single fixed factor identifiable across all conditions' is this review's own synthesis across exactly 2 studies",'All hydraulic conditions' risks overgeneralizing from 2 studies; already softened by 'in some... in others' framing but should be checked against full text,"Full text of both studies to confirm exact site counts, I&I severity classification, and whether findings are as cleanly complementary as summarized",Multi-site comparative study explicitly varying hydraulic/I&I conditions,Multi-site (3+) comparison spanning a documented range of I&I severity,2 minimum (met: Rainey + Darling); 3+ preferred for a 'no universal fixed factor' claim,flow normalization performance; inflow infiltration wastewater surveillance; population normalization comparison multi-site,"(""flow normalization"" OR ""population normalization"") AND (wastewater) AND (""inflow and infiltration"" OR ""multi-site"" OR ""multi-community"")",yes,"qualify -- if full text does not confirm the complementary reading, qualify to 'these findings are not necessarily contradictory, since...' rather than asserting the synthesis as established",Pending full-text acquisition (both studies)
P0,4.2,P4-5,"Rainfall, infiltration, and industrial or non-domestic discharge each limit what flow normalization alone can fix... Comparative evidence shows flow normalization outperforming biomarker alternatives in some large multi-site studies... while becoming unreliable under substantial inflow and infiltration in others -- a context-dependent applicability condition, not a universal ranking.",Cross-site generalization + performance comparison,[13] Rainey et al. 2023; [3] Darling et al. 2025,Abstract-checked,Same underlying pair as P3-9; industrial/non-domestic discharge limitation is asserted without any specific citation,"The industrial/non-domestic-discharge clause has NO citation at all in the condensed text -- an uncited mechanistic assertion, distinct from the Rainey/Darling pairing's evidence gap","(1) Same as P3-9 for the Rainey/Darling pairing; (2) a specific citation for the industrial/non-domestic-discharge-limits-normalization claim, currently entirely uncited",Primary study documenting industrial/non-domestic flow contribution's effect on normalization validity,Field study in a mixed residential/industrial sewershed comparing normalization performance,1 for the industrial-discharge clause specifically (currently 0),industrial discharge wastewater normalization; non-domestic flow contribution sewer; trade waste wastewater surveillance,"(""industrial discharge"" OR ""non-domestic wastewater"" OR ""trade waste"") AND (""wastewater surveillance"" OR ""wastewater normalization"")",yes,"remove -- if no citation can be found for the industrial/non-domestic-discharge clause specifically, remove that clause; the rainfall/infiltration portion can retain the existing Rainey/Darling citations",Pending targeted search (Addendum module 2); industrial-discharge clause currently has zero supporting citation
P0,4.3,P4-6,"No single population biomarker has been validated as universally reliable... Creatinine... disqualified by in-sewer instability; cotinine... confounded by geographically variable smoking prevalence; PMMoV and crAssphage... show inconsistent, often neutral-or-negative, performance across independent multi-site validation studies.","Performance comparison, cross-study generalization","Chen et al. 2014 (creatinine/cotinine); Maal-Bared et al. 2023, Dhiyebi et al. 2023 (PMMoV/crAssphage) -- none named inline in condensed prose",Abstract-checked,"Each named biomarker's performance pattern rests on 1-3 single-site or few-site studies per the source draft's fuller §6.4-§6.5 narrative; 'no biomarker universally validated' is this review's own synthesis, not directly demonstrated by any one source",The condensed text does not name the supporting studies inline -- readers cannot trace 'PMMoV... inconsistent' to its source from the condensed prose alone (citation-attribution gap),"Full text of Chen et al. 2014, Maal-Bared et al. 2023, and Dhiyebi et al. 2023 to confirm the specific site counts and performance directions summarized",Multi-site comparative validation studies (already the design of the 3 underlying studies),Multi-site (10+) biomarker performance comparison against independent clinical reference data,"3+ (multiple biomarkers, multiple studies already implied; full text needed to confirm exact counts)",PMMoV normalization performance; crAssphage wastewater normalization; fecal indicator biomarker wastewater validation,"(PMMoV OR crAssphage OR ""fecal indicator"") AND (wastewater) AND (normalization) AND (validation OR correlation)",yes,retain with citation restored -- add inline citations (Chen et al. 2014; Maal-Bared et al. 2023; Dhiyebi et al. 2023) to the condensed text regardless of full-text-verification outcome; narrow specific performance claims only if full text contradicts the abstract-level summary,Pending full-text acquisition (3 studies); immediate citation-attribution fix recommended
P0,4.4 / Table 2,P4-10,"Table 2's four rows (flow, census population, dynamic population, biomarker ratio) against corrected mechanism, required assumption, and residual uncertainty.",Table performance judgment (consolidated),"[3],[13] (flow rows); Chen/Maal-Bared/Dhiyebi implied for biomarker row, not cited in the table itself",Abstract-checked,Table cells synthesize the same underlying single-study findings named in P4-3 through P4-7; the biomarker-ratio row's residual-uncertainty cell is a general synthesis not tied to any specific named study in the table,Table 2 carries NO citation column at all -- a reader cannot trace any cell's claim to a specific source without cross-referencing prose elsewhere. Structural evidentiary-transparency gap in the table's own design.,"Same as P4-5 and P4-6 combined, since Table 2 consolidates both",Same as P4-5/P4-6,Same as P4-5/P4-6,Varies by row -- see P4-5/P4-6,"Combines Addendum modules 2 (rainfall/hydraulic), 4 (normalization biomarkers), 5 (fate matching)",See P4-5 and P4-6 queries combined,yes,"qualify -- add a citation column to Table 2 regardless of full-text outcome (a table-design fix, independent of new evidence); qualify individual cells per each row's underlying claim's resolution",Pending full-text acquisition (aggregates P4-5/P4-6); table-design fix (citation column) can proceed independently
P0,5.5 / Table 3,P5-10,"Table 3's six model-family rows (direct mass balance, empirical regression, convolution/deconvolution, mechanistic transport-decay, Bayesian/state-space, hybrid process-informed) against identifiability requirement, dominant uncertainty, minimum validation, and failure mode.",Table performance/validation judgment (consolidated),[35] Huisman et al. 2022; [44] Dai et al. 2024; [38] Ai et al. 2022 (implied); 3 of 6 rows uncited,Abstract-checked,"Only 3 of 6 rows have an explicit citation elsewhere in Part 5's prose; the mass-balance, empirical-regression, and mechanistic-transport-decay rows' cells are this review's own synthesis without a named illustrative study in the condensed text","3 of 6 rows (mass balance, empirical regression, mechanistic transport-decay) have NO citation at all in the condensed draft -- same structural gap as P4-10's Table 2","Named illustrative studies to properly anchor all 6 rows -- the source draft already identifies candidates (Zuccato et al. 2008 for mass balance, Schoen et al. 2022 for empirical regression, McMahan et al. 2021 for mechanistic transport-decay) that were not carried into the condensed Table 3","One representative primary study per model family, full text",Varies by family -- see source draft §7.4 Table 4/5 for full candidate list,1 per row minimum for citation-attribution; 2+ for full generalization,WBE mass balance back-calculation; empirical regression wastewater case prediction; SEIR wastewater compartmental model,"(""wastewater-based epidemiology"" OR WBE) AND (""mass balance"" OR ""back-calculation"" OR ""compartmental model"" OR ""SEIR"")",yes,"qualify -- restore citations for all 6 rows from the source draft's existing Table 4/5 (Zuccato et al. 2008, Schoen et al. 2022, McMahan et al. 2021 are already in the source draft's evidence base, just not carried into the condensed Table 3) -- a citation-restoration fix independent of new full-text verification",Pending full-text acquisition; 3-row citation-attribution gap can be partially fixed immediately by restoring existing source-draft citations
P0,6.1,P6-1,"...a recent preprint reports a sensitivity advantage for an event-detection framework over a clinical-data baseline across a large U.S. county sample (Link, Garrido, et al., 2026), but this is a single, non-peer-reviewed study set in one national context, and threshold transportability across populations and sewersheds cannot be assumed from it and must be re-validated in each new deployment context.",Performance + cross-population generalization (already self-limited in text),"[57] Link, Garrido et al. 2026 (medRxiv preprint)","Abstract-checked, non-peer-reviewed preprint, metadata only partially corroborated","Single preprint, single country (U.S.), single disease (SARS-CoV-2) -- already explicitly flagged as single-study and non-transferable in the same sentence; the specific 281-county figure was removed from the condensed text this round as not essential to the argument","The underlying source is a preprint, not a peer-reviewed publication -- per this round's rule, a preprint must not alone support a core claim. Addressed directly this round via Option C narrowing (Task 99): condensed draft §6.1 edited to an explicit 'a recent preprint reports...' framing, the specific 281-county number removed as non-essential, and single-study/non-peer-reviewed/single-national-context caveats added in the same sentence.","Either (a) the formal peer-reviewed version of this preprint, or (b) a second, independent peer-reviewed study of wastewater-based event/outbreak detection performance",Peer-reviewed primary study,Multi-site event-detection performance evaluation against a clinical baseline,"2 (currently 1, and that 1 is unpublished)",wastewater outbreak detection sensitivity; event detection SARS-CoV-2 wastewater; alert threshold wastewater surveillance performance,"(""event detection"" OR ""outbreak detection"" OR ""alert threshold"") AND (wastewater) AND (sensitivity OR ""predictive value"")",yes (for formal version if found; otherwise second independent study),"narrow -- Option C narrowing applied this round (verified in condensed draft §6.1); general threshold-transportability point retained as this review's own inference, decoupled from the 281-county figure, which is no longer cited in the text",Option C narrowing applied and verified in WBE_Review_WR_Condensed_Draft.md §6.1 this round; formal-version / independent second-study search still pending (see Full Text Request List and Search Addendum module 9)
P1,4.1,P4-2,Recovery... and inhibition or matrix suppression... are mechanistically distinct amplitude-loss terms... which is why they require separate quality-control checks rather than one combined correction factor.,Mechanistic + method-performance comparison,"Pecson et al. 2021 (referenced qualitatively, not inline-cited)",Abstract-checked,Pecson et al. supports the interlaboratory-variability finding generally (36-SOP comparison); not cited inline in the condensed paragraph,"Pecson et al. is referenced only in the Claim Map, not as an inline citation in the condensed draft -- same attribution-gap pattern as P4-6","Full text of Pecson et al. 2021 to confirm the 36-SOP interlaboratory finding's magnitude and whether recovery/inhibition were separately, not jointly, characterized",Interlaboratory comparison study,"Multi-laboratory, multi-SOP comparison with recovery and inhibition measured as separate QC metrics",1 (interlaboratory study inherently multi-site),wastewater qPCR interlaboratory comparison; recovery efficiency PCR inhibition wastewater,"(""interlaboratory"" OR ""inter-laboratory"") AND (wastewater) AND (recovery OR inhibition) AND (SARS-CoV-2 OR qPCR)",yes,"retain with citation restored -- add inline citation to Pecson et al. 2021 regardless of full-text outcome; the six-concept taxonomy itself is this review's own framework, not dependent on this citation",Pending full-text acquisition; citation-attribution fix recommended immediately
