target_section,paragraph_id,condensed_claim,source_sections,source_references,evidence_level,compression_action,omitted_detail,SI_destination,full_text_verification_required,author_review_required,claim_type,evidence_status,citation_support_scope,evidence_gap_priority
1.1,P1-1,A treatment-plant concentration is not itself a public-health indicator; it requires inversion through a transformation chain. Recent literature (no normalization consensus; flow sometimes outperforms biomarkers; biofilm decay is a major loss pathway) motivates reframing WBE as an inverse problem.,"Ch1 (Introduction), paras 1-2",Boogaerts et al. 2024; Rainey et al. 2023; Jung et al. 2026,"Conceptual synthesis, anchored by abstract-checked findings",shorten,"Institutional adoption examples (EU dashboard, China national system), developmental-phase history",S1 Supplementary Methods; S4 Existing-review competition matrix,yes,no,Motivating/mechanistic argument,Abstract-checked,Each cited finding supports only its own narrow claim (no consensus marker; flow sometimes outperforms; biofilm decay significant) -- not generalized beyond that,Moderate
1.1,P1-2,"WBE reframed as an inverse problem: a source signal is distorted via amplitude, temporal, and spatial mechanisms; recovery requires identifiability; process-informed correction is the proposed remedy where identifiability is poor.",Ch1 paras 3-4 (distortion taxonomy); Ch3 §3.0 (formal statement),none (this review's own framework),"Conceptual synthesis (original framework, not evidence-dependent)",merge,"Full Y(t)=A(t)[K(t,tau)*X(tau)]+eps(t) equation notation (retained conceptually, not restated symbolically here)",none,no,no,Definitional/framework,Author conceptual synthesis,"Not applicable -- no external citation, this review's own formalization","Author synthesis, no external citation needed"
1.2,P1-3,"This is a narrative synthesis, not yet a systematic/scoping review; evidence identified via targeted web search screened by title/snippet, prioritizing peer-reviewed and institutional sources. Full evidentiary status tracked in companion audit files, not restated per claim.","Ch2 §2.1, §2.2, §2.3 (compressed)",none,Internal methodological statement,shorten,"Full search-query breakdown (20 queries, 5 categories); the Miura/Kitajima internal-inconsistency anecdote; the PMC8772136 excluded-source anecdote",S1 Supplementary Methods; S2 Full search strategies,no,yes -- confirm the single evidence-status pointer sentence is sufficient for a journal reviewer rather than needing an inline caveat,Methodological guidance,Author conceptual synthesis,"Not applicable -- internal methods statement, no external citation","Author synthesis, no external citation needed"
1.2,P1-4,"Review is scoped to the shared signal-formation/distortion/correction problem across targets, not a catalog of every WBE application.",Ch2 §2.6 (scope boundaries),none,Internal methodological statement,shorten,"Full application taxonomy (Table 2, 4 inference-goal categories) and developmental-phase table (Table 1)",S1 Supplementary Methods (Tables 1-2 content),no,no,Methodological guidance,Author conceptual synthesis,Not applicable -- internal scope statement,"Author synthesis, no external citation needed"
1.3,P1-5,Four original contributions stated: (1) WBE as inverse problem; (2) amplitude-temporal-spatial taxonomy; (3) normalization as mechanism-specific causal correction; (4) identifiability/uncertainty-aware reconstruction framework. All four target the same recurring overclaiming failure mode.,"Ch1 para 5 (three organizing arguments); Ch6 §6.0 (Normalization != reconstruction); Ch7 §7.0 (five-way distinction) -- synthesized as this review's explicit thesis statement, not previously stated together in one place in the source draft",none,Conceptual synthesis (original framework),merge,"none -- this paragraph is a novel synthesis combining material previously scattered across three chapters, per this round's explicit Part 1.3 instruction",none,no,"yes -- confirm the four-contribution framing as stated matches author intent, since it consolidates content not previously co-located in the source draft",Original synthesis/proposition,Author conceptual synthesis,"Not applicable -- this review's own four-proposition thesis statement, no single external source","Author synthesis, no external citation needed"
2,P2-1,Population-level WBE inference begins from an underlying (infection/consumption/exposure) state that produces measurable analyte via metabolism and excretion; this relationship is only approximately stable.,Ch3 §3.1 opening,none,Conceptual synthesis,shorten,none material,none,no,no,Definitional/framework,Author conceptual synthesis,Not applicable -- no external citation,"Author synthesis, no external citation needed"
2,P2-2,"Shedding heterogeneity (right-skewed, over-dispersed across individuals) broadens the effective source pulse -- temporal distortion. Chemical-target excretion depends on dose/route/metabolism; pharmacokinetic correction factors from mismatched populations introduce systematic amplitude bias.","Ch3 §3.1 (shedding heterogeneity, dose/route/PK factor paragraphs)","Miura, Kitajima & Omori 2021 (not named in condensed text, referenced qualitatively only); Boogaerts et al. 2024",Abstract-checked; Miura et al. flagged internally inconsistent in source,shorten,"Specific shedding-duration point estimates (3.4 vs 2.6 log copies/g; 26.0 vs 20-32 day duration) -- deliberately omitted given the flagged inconsistency, per instruction not to let abstract-level evidence be read as more precise than it is",S5 Biomarker characteristics,yes,no,"Empirical finding, evidence-anchored",Abstract-checked; internally flagged inconsistent (Miura et al.),"Miura et al. supports only the qualitative shedding-heterogeneity direction, not any specific number (numbers deliberately omitted)",Moderate
2,P2-3,"WBE's asymptomatic/undiagnosed-capture advantage means wastewater and clinical signals do not share a denominator -- an identifiability issue, not a calibration detail.",Ch1 para (WBE advantage); Ch3 §3.1 (asymptomatic/undiagnosed shedding paragraph),NASEM 2023 [11],Institutional guidance support,shorten,none material,none,"no (institutional source, general framing claim)",no,Institutional/guidance framing,Institutional guidance (NASEM),"NASEM supports the general asymptomatic-capture framing, not a specific quantitative claim",Low
2,P2-4,"Excretion/shedding are distributions, not point values; population-average rates understate right-skewed tail behavior relevant to outbreak-detection sensitivity. Chemical parent-to-metabolite ratio adds further dispersion.","Ch8 §8.2 (inter-individual shedding magnitude, parent-compound-to-metabolite conversion paragraphs) -- pulled forward from Ch8 to Part 2 since it is source-state-level content, not propagation-method content",none directly cited in this paragraph (conceptual synthesis of Ch8's distributional framing),Conceptual synthesis,merge,Negative-binomial/log-normal-mixture distributional-form detail; the delta-method-misrepresents-tail-risk point (reserved for Part 5),S8 Uncertainty methods and evidence,no,no,"Mechanistic argument, evidence-anchored",Conceptual synthesis based on preceding process evidence,"General distributional-shape claim, not attributed to one specific study's number",Moderate
2,P2-5,"Contributing population is dynamic (commuting, tourism, institutional populations, seasonal movement), not a fixed denominator; estimation/correction methods deferred to Part 4.","Ch6 §6.3 opening framing (population dynamism as a phenomenon, not the correction methods)",none in this paragraph,Conceptual synthesis,shorten,"Ammonium/mobile-device dynamic-population correction methods (reserved for Part 4.2, not duplicated here)",S6 Normalization evidence,no,no,Definitional/framework,Author conceptual synthesis,"Not applicable -- phenomenon-level statement, methods deferred to Part 4","Author synthesis, no external citation needed"
