reference_number,active_or_withdrawn,cited_in_condensed_draft,cited_section,claim_supported,evidence_level,possible_overextension,full_text_priority,phase3c_technical_check
1,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it,"N/A -- not cited in the condensed draft, no in-text citation to check"
2,active,yes,1.1,No consensus on best population-normalization marker,Abstract-checked,No,See WBE_Review_Condensed_Claim_Map.csv evidence_gap_priority for the specific paragraph(s),"Confirmed 2026-07-19: author-year citation in condensed draft matches this reference's entry in References.md; no duplicate reference numbering found in References.md; this is a technical-consistency check only, not a re-verification of evidentiary support"
3,active,yes,"3.5, 4.2",Flow normalization unreliable under substantial inflow/infiltration,Abstract-checked,"No -- single-study finding correctly scoped as 'in others', not generalized",See WBE_Review_Condensed_Claim_Map.csv evidence_gap_priority for the specific paragraph(s),"Confirmed 2026-07-19: author-year citation in condensed draft matches this reference's entry in References.md; no duplicate reference numbering found in References.md; this is a technical-consistency check only, not a re-verification of evidentiary support"
4,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it,"N/A -- not cited in the condensed draft, no in-text citation to check"
5,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it,"N/A -- not cited in the condensed draft, no in-text citation to check"
6,active,yes,3.4,Temperature independently accelerates target decay,Abstract-checked,"No -- specific 26C threshold correctly omitted, only qualitative direction retained",See WBE_Review_Condensed_Claim_Map.csv evidence_gap_priority for the specific paragraph(s),"Confirmed 2026-07-19: author-year citation in condensed draft matches this reference's entry in References.md; no duplicate reference numbering found in References.md; this is a technical-consistency check only, not a re-verification of evidentiary support"
7,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it,"N/A -- not cited in the condensed draft, no in-text citation to check"
8,active,yes,"3.4, 3.5",Explicit rainfall correction substantially improved correlation with clinical data,Abstract-checked,"No -- this review's strongest single rainfall-correction evidence anchor, correctly scoped to 'one case in this evidence base'",See WBE_Review_Condensed_Claim_Map.csv evidence_gap_priority for the specific paragraph(s),"Confirmed 2026-07-19: author-year citation in condensed draft matches this reference's entry in References.md; no duplicate reference numbering found in References.md; this is a technical-consistency check only, not a re-verification of evidentiary support"
9,active,yes,"3.2, 3.4","Microbial activity is dominant driver of RNA loss, distance-dependent",Abstract-checked,No -- specific rate-constant figures correctly omitted,See WBE_Review_Condensed_Claim_Map.csv evidence_gap_priority for the specific paragraph(s),"Confirmed 2026-07-19: author-year citation in condensed draft matches this reference's entry in References.md; no duplicate reference numbering found in References.md; this is a technical-consistency check only, not a re-verification of evidentiary support"
10,active,no,N/A -- not used in Parts 1-8 this round,N/A,"N/A (active, available for future use)",N/A,Low priority for this round; available if Phase 2C prose expansion needs it,"N/A -- not cited in the condensed draft, no in-text citation to check"
