chapter,section,current_words,priority_category,supports_original_throughline,must_retain_in_main_text,compressible_pct,target_words,needs_fulltext_verification,si_destination,notes
FRONT_MATTER,Title and status note,317,Internal audit material,no,no,70,95,no,not applicable (deleted/replaced by a short submission-standard evidence statement),"Project-management status note; a submission manuscript needs a one-paragraph evidence-transparency statement, not this document's full internal audit trail."
1. Introduction,(chapter preamble),1106,Core theoretical contribution,yes,yes,15,940,no,none,States the inverse-problem framing and the three organizing arguments; this is the paper's thesis statement and must survive compression almost intact.
2. Review Methodology and Evidence Synthesis,(chapter preamble),6,Internal audit material,no,no,100,0,no,Supplementary Methods,Empty preamble (0 body words); heading only.
2. Review Methodology and Evidence Synthesis,2.1 Review type and scope,114,Internal audit material,no,yes,50,57,no,Supplementary Methods (full search-limitation account),A 1-2 sentence honest-limitations statement is needed in the submission main text; the full narrative-vs-systematic distinction belongs in SI.
2. Review Methodology and Evidence Synthesis,2.2 Search process used for this draft,245,Internal audit material,no,no,70,74,no,Supplementary Methods / full search strategy document,"Search-process narrative; a submission methods section needs a compressed 2-3 sentence version, full detail belongs in SI alongside the search-strategy file."
2. Review Methodology and Evidence Synthesis,2.3 Source verification procedure and its limitations — read before citing any number in this draft,327,Internal audit material,no,yes,60,131,no,Supplementary Methods,The 0/N full-text-verification disclosure itself must stay in the main text in some compressed form (a journal reviewer needs it); the internal Miura/Kitajima inconsistency anecdote is SI-level detail.
2. Review Methodology and Evidence Synthesis,2.4 Terminology and developmental background (compressed),366,General background,partial,yes,60,146,no,Supplementary Table (developmental phases),"Table 1's 5-phase history is background scene-setting, not part of the four original contributions; compress to 2-3 sentences in main text, full phase table to SI."
2. Review Methodology and Evidence Synthesis,"2.5 Application taxonomy, organized by inference goal",139,General background,partial,yes,50,70,no,Supplementary Table (application taxonomy),Table 2 is useful orientation but not load-bearing for the four contributions; shorten substantially.
2. Review Methodology and Evidence Synthesis,2.6 Scope boundaries,64,General background,no,yes,40,38,no,none,"Short scoping statement; keep briefly, low word count already (64 words)."
3. WBE as an Inverse Problem: Source-to-Sample Signal Formation,(chapter preamble),9,Core theoretical contribution,yes,yes,0,9,no,none,Heading-only preamble; no content to compress.
3. WBE as an Inverse Problem: Source-to-Sample Signal Formation,3.0 Formal problem statement,571,Core theoretical contribution,yes,yes,10,514,no,none,"Defines X(tau), Y(t), A(t), K(t,tau), and the amplitude/temporal/spatial taxonomy — this is contribution #2 (the distortion framework) in its entirety. Must be preserved almost verbatim."
3. WBE as an Inverse Problem: Source-to-Sample Signal Formation,3.1 Source-End Biological and Behavioral Variation,479,Necessary methodological support,yes,yes,35,311,no,Supplementary Table (biomarker/source-variability evidence),"Illustrates the framework with real evidence (shedding heterogeneity, PK correction-factor uncertainty); needed as the framework's first worked application but individual study details can compress."
3. WBE as an Inverse Problem: Source-to-Sample Signal Formation,3.2 Building and Local Drainage Processes,221,Detailed example,partial,yes,50,110,no,Supplementary Table,Building-scale distortion catalog; useful but lower-priority than source-end and transport chapters — compress to the amplitude/spatial mapping sentence plus one example.
4. Signal Distortion in Sewer Transport: From Transformation to Identifiability,(chapter preamble),107,Core theoretical contribution,yes,yes,30,75,no,none,Short chapter-framing paragraph.
4. Signal Distortion in Sewer Transport: From Transformation to Identifiability,"4.1 Physical, Chemical, and Biological Transformation in Transit — Amplitude and Temporal Effects",402,Essential evidence,yes,yes,30,281,no,Supplementary Table (decay/transformation evidence),"Direct empirical support for the distortion framework (biofilm decay rate-constant studies); Jung et al./Zhang et al. findings are load-bearing evidence, keep the core finding, compress the mechanistic enumeration."
4. Signal Distortion in Sewer Transport: From Transformation to Identifiability,4.2 Rainfall- and Warm-Season-Induced Distortion — A Compound Perturbation,456,Essential evidence,yes,yes,25,342,no,Supplementary Table,"The Janssens et al. rainfall-correction finding is this review's clearest single piece of evidence that distortion is a correctable, structured bias — central to contribution #3 (normalization as mechanism-specific causal correction). Keep prominently."
4. Signal Distortion in Sewer Transport: From Transformation to Identifiability,4.3 Identifiability and the Case for Process-Informed Correction,449,Core theoretical contribution,yes,yes,10,404,no,none,States the identifiability argument and process-informed-correction thesis directly — contribution #2/#3's connective tissue. Must be preserved.
"5. Sampling, Analytical Methods, and Quality Assurance: A Second Round of Distortion",(chapter preamble),12,Necessary methodological support,partial,no,100,0,no,none,"Empty preamble, heading only."
"5. Sampling, Analytical Methods, and Quality Assurance: A Second Round of Distortion","5.0 Bridge from Chapters 1–4, Notation, and Two Observation Models",758,Necessary methodological support,yes,yes,20,606,no,none,"Defines the two observation models (molecular-target, chemical-biomarker) — necessary scaffolding for everything downstream in Ch5-8. Keep, but the 'conceptual scaffold not validated model' disclaimer can be centralized per the Overlap Audit."
"5. Sampling, Analytical Methods, and Quality Assurance: A Second Round of Distortion",5.1 Sampling Location — A Further Spatial-Distortion and Identifiability Choice,382,Necessary methodological support,yes,yes,40,229,no,Supplementary Table (sampling design evidence),"Real methodological content but largely standard sampling-design material; compress substantially, keep the spatial-distortion/identifiability link."
"5. Sampling, Analytical Methods, and Quality Assurance: A Second Round of Distortion",5.2 Sampling Mode — Amplitude and Temporal Distortion at the Point of Collection,504,Necessary methodological support,yes,yes,40,302,no,Supplementary Table,"Grab-vs-composite distinction; standard content, compress."
"5. Sampling, Analytical Methods, and Quality Assurance: A Second Round of Distortion","5.3 Sample Matrix — Liquid, Particulate, Settled Solids, and Sludge",287,General background,partial,yes,55,129,no,Supplementary Table,"Matrix-selection background; keep the matrix-partitioning point that feeds §6.5/§6.6, compress the rest."
"5. Sampling, Analytical Methods, and Quality Assurance: A Second Round of Distortion","5.4 Preservation, Pre-Treatment, Concentration, and Extraction",289,General background,no,yes,55,130,no,Supplementary Methods,"Standard lab-methods background, not specific to this review's original contributions; compress heavily."
"5. Sampling, Analytical Methods, and Quality Assurance: A Second Round of Distortion","5.5 Six Concepts That Should Not Be Collapsed Into One ""Uncertainty""",956,Core theoretical contribution,yes,yes,20,765,no,Supplementary Table (interlaboratory evidence detail),"The six-concept disambiguation (representativeness/recovery/precision/sensitivity/censoring/replicates) is genuinely original organizing work this review relies on repeatedly (Ch6, Ch8); keep the taxonomy in full, move the Pecson/Ahmed et al. evidence detail to SI."
"5. Sampling, Analytical Methods, and Quality Assurance: A Second Round of Distortion",5.6 Differential Behavior Across Target Classes: Applying the Two Observation Models,432,Necessary methodological support,yes,yes,35,281,no,Supplementary Table,Applies the two observation models across target classes; needed but compressible to the core distinction plus one example (Elbait et al. qPCR-vs-metagenomics).
"5. Sampling, Analytical Methods, and Quality Assurance: A Second Round of Distortion","5.7 Carrying Sampling and Analytical Uncertainty Forward: Bias, Random Error, and Information Loss",731,Core theoretical contribution,yes,yes,15,621,no,none,"The systematic-bias/random-error/information-loss three-way split is used throughout Ch6-8; core organizing contribution, keep in full."
6. Normalization in Wastewater-Based Epidemiology: Causal Correction or Additional Uncertainty?,(chapter preamble),10,Necessary methodological support,yes,no,100,0,no,none,"Empty preamble, heading only."
6. Normalization in Wastewater-Based Epidemiology: Causal Correction or Additional Uncertainty?,6.0 Normalization Within the Inverse-Problem Framework,544,Core theoretical contribution,yes,yes,15,462,no,none,"States contribution #3 directly (normalization as conditional statistical adjustment, not source-state reconstruction) with the 'Normalization ≠ reconstruction' proposition. Must be preserved near-verbatim."
6. Normalization in Wastewater-Based Epidemiology: Causal Correction or Additional Uncertainty?,6.1 What Is Normalization Intended to Correct?,526,Core theoretical contribution,yes,yes,20,421,no,none,"The five-goal taxonomy is original, load-bearing organizing work referenced throughout the rest of the chapter; keep."
6. Normalization in Wastewater-Based Epidemiology: Causal Correction or Additional Uncertainty?,6.2 Flow-Based Normalization,671,Essential evidence,yes,yes,40,403,no,Supplementary Table (normalization method evidence),"Real comparative evidence (Langeveld, Rainey, Darling) grounding the normalization-is-conditional thesis; keep the applicability-condition finding, move individual-study detail to SI/Table."
6. Normalization in Wastewater-Based Epidemiology: Causal Correction or Additional Uncertainty?,6.3 Census Population and Dynamic Population Estimates,628,Essential evidence,yes,yes,45,345,no,Supplementary Table,Supports the five-goal taxonomy's population-correction goal; compress the Baz-Lomba/Thomas et al. narrative to the core finding.
6. Normalization in Wastewater-Based Epidemiology: Causal Correction or Additional Uncertainty?,6.4 Chemical Population Biomarkers,747,Essential evidence,partial,yes,55,336,no,Supplementary Table (biomarker validation matrix),"Detailed per-biomarker narrative (creatinine, cotinine, caffeine, ammonium); the *pattern* (proposed-then-mixed-evidence) is load-bearing, individual biomarker paragraphs are compressible into Table 3, which already exists to hold this detail."
6. Normalization in Wastewater-Based Epidemiology: Causal Correction or Additional Uncertainty?,6.5 Microbial and Molecular Population Biomarkers,879,Essential evidence,partial,yes,55,396,no,Supplementary Table (biomarker validation matrix),"Same pattern as §6.4 for PMMoV/crAssphage/HF183; compress narrative into Table 3, which already exists."
6. Normalization in Wastewater-Based Epidemiology: Causal Correction or Additional Uncertainty?,6.6 Ratio Normalization and Error Propagation,1685,Core theoretical contribution,yes,yes,10,1516,no,none,This chapter's stated 'principal original contribution' (the joint-condition proposition for when ratio normalization helps vs. hurts) — the paper's clearest original methodological claim in Chapter 6. Must be preserved in full.
6. Normalization in Wastewater-Based Epidemiology: Causal Correction or Additional Uncertainty?,6.7 Target- and Purpose-Specific Normalization,427,Core theoretical contribution,yes,yes,25,320,no,none,"The two-dimensional (target-type x purpose) framework is original synthesis; compress the enumeration, keep the framework."
6. Normalization in Wastewater-Based Epidemiology: Causal Correction or Additional Uncertainty?,6.8 When Normalization Fails,650,Core theoretical contribution,yes,yes,20,520,no,Supplementary Table,"The failure-mode catalog is original and directly supports contribution #3's boundary conditions; keep the taxonomy, the eight bullet items can compress into a table."
