reference_text,location_in_draft,reference_type,target_exists,target_content_matches_claim,notes,status,fix_applied_this_round
"§3.2 (in §3.4, ""Jung et al., 2026, §3.2"")",line 67,in-text section pointer,"Yes -- §3.2 exists (""Transformation, partitioning and biological interactions"")",Yes -- §3.2 does cite Jung et al. 2026 for biofilm/decay,Correct.,Valid,N/A
"§4 (in §2, ""developed later in this review (§4)"")",line 35,in-text section pointer,"Yes -- Part 4 exists (""Observation and normalization"")","Yes -- §4.2 discusses dynamic/static population correction, matching the pointer's subject (population fluctuation)","Points to the whole Part rather than the more specific §4.2 -- acceptable style, not an error.",Valid,N/A
"§5.2 (in §5.1, ""the distinction §5.2 develops formally"")",line 124,in-text section pointer,"Yes -- §5.2 exists (""Identifiability and observability"")",Yes -- §5.2 is exactly where observability vs. fit quality is formally distinguished,Correct.,Valid,N/A
"§5.4 (in §7.1, ""the scenario uncertainty named in §5.4"")",line 183,in-text section pointer,"Yes -- §5.4 exists (""Uncertainty propagation"")","Yes -- §5.4 explicitly names ""scenario uncertainty"" as one of seven propagation-input categories",Correct.,Valid,N/A
"§5.5 (in §6.1, ""asymmetric costs... (§5.5)"")",line 165,in-text section pointer,"Yes -- §5.5 exists (""From uncertainty intervals to defensible inference"")","Yes -- §5.5 states ""Decision thresholds should be set from the asymmetric costs of false alarms against missed detections"" verbatim",Correct.,Valid,N/A
"§6.1 (in §7.2, ""the same... transfer requirement §6.1 sets"")",line 187,in-text section pointer,"Yes -- §6.1 exists (""Surveillance objectives and decision thresholds"")",Yes -- §6.1 is where threshold cross-population transportability is discussed,Correct.,Valid,N/A
"§6.3 (in §7.1, ""detection-to-action timescale named in §6.3"")",line 183,in-text section pointer,"Yes -- §6.3 exists (""Actionability, limits and ethics"")","Yes -- §6.3 names ""the detection-to-action interval"" as one of the four actionability conditions",Correct.,Valid,N/A
"§6.3 (in §7.3, ""structural-equity problem named in §6.3"")",line 191,in-text section pointer,Yes -- §6.3 exists,"Yes -- §6.3 names ""structural equity"" explicitly as one of three privacy/equity problems",Correct.,Valid,N/A
"Part 2 (in §7.1, ""aleatory variability Part 2 already established"")",line 183,in-text part pointer,"Yes -- Part 2 exists (""From population states to wastewater signals"")",Yes -- Part 2 establishes source-end shedding heterogeneity (aleatory variability),Correct.,Valid,N/A
"Part 3 (in §6.2, ""per Part 3, a direct confounder"")",line 169,in-text part pointer,"Yes -- Part 3 exists (""Sewers as information filters"")",Yes -- §3.4 establishes rainfall as a signal confounder,Correct.,Valid,N/A
"Part 3 (in §7.1, ""Part 3's process-informed correction argument"")",line 183,in-text part pointer,Yes -- Part 3 exists,Yes -- §3.5 develops the process-informed-correction argument,Correct.,Valid,N/A
"Part 5 (in §4.1, ""Part 5 propagates each through to a final uncertainty estimate"")",line 85,in-text part pointer,"Yes -- Part 5 exists (""Reconstruction, identifiability and uncertainty"")",Yes -- §5.4 is exactly the uncertainty-propagation section this forward-points to,Correct.,Valid,N/A
"""Supplementary Table S4"" (in §4.4, eight-mode normalization-failure catalog pointer)",line 103 (original),SI pointer,"No -- WBE_Review_Supplementary_Outline.md has no section or table numbered S4 that covers this content. §S4 in the outline is ""Existing-Review Competition Matrix"" (an unrelated reviewer-differentiation table); the actual eight-mode normalization-failure catalog is §S6a (""Normalization Failure Modes, Full Catalog""), which the outline explicitly identifies as this pointer's intended target but which was never assigned a ""Table S4"" label anywhere.",No -- mismatch between the number cited in the manuscript and the outline's actual section numbering,"Genuine cross-reference bug, caught this round. The condensed draft and the Supplementary Outline were drafted in different Phase 2B sessions and the pointer text was never checked against the outline's final section numbering.",Fixed,"Yes -- §4.4 now reads ""given in Supplementary Section S6a"", matching the outline's actual section label"
"""Supplementary Methods"" (in §1.2, source-verification-limitation pointer)",line 15,SI pointer,"Yes -- §S1 ""Supplementary Methods"" exists in the outline",Yes -- §S1 covers the search-process narrative and source-verification-limitation detail the pointer refers to,Correct.,Valid,N/A
Table 1 / Table 4 / Table 5 / Table 6 / Figure 1-3 (dropped tables/figures),N/A -- checked for absence,stale-reference check,N/A,N/A,"Confirmed none of these appear anywhere in the condensed draft body -- no leftover pointer to a table dropped from the main text during compression (Table 1, 4, 5, 6 were all moved to SI per the Compression Map; the condensed draft correctly uses only ""Table 2"" and ""Table 3"" as its two in-text table numbers).",Valid -- no stale references found,N/A
Table 2 / Table 3 caption numbering,"lines 107, 148",table numbering,"Yes -- exactly two in-text tables, numbered 2 and 3 with no gap or duplicate",N/A,"Sequential and non-duplicated. No prose sentence elsewhere cites ""(Table 2)"" or ""(Table 3)"" parenthetically outside the tables' own captions -- not an error, simply means no additional cross-reference to check for these two.",Valid,N/A
Box numbering,N/A,box numbering,"N/A -- no numbered ""Box"" elements exist anywhere in the condensed draft",N/A,"The source draft's two uncertainty boxes were compressed into main prose during Phase 2A/2B and not carried forward as numbered boxes; nothing in the condensed draft refers to a ""Box N,"" so there is no dangling box cross-reference to fix.",N/A -- no boxes in condensed draft,N/A
Markdown heading numbers vs. .docx heading numbers,whole document,md/docx consistency,N/A,"Yes -- WBE_Review_WR_Condensed_Draft.docx is regenerated directly from the .md via pandoc after every edit this round, so heading text and numbering are identical by construction","Verified via zipfile inspection of word/document.xml after each regeneration this round (heading text present, no literal '$' artifacts, table elements present).",Valid,"N/A -- consistency maintained by the regeneration workflow, not a one-time fix"
