reference_number,active_status,publication_type,cited_in_condensed_main_text,cited_in_table,planned_for_SI,section_or_paragraph,claim_supported,evidence_level,full_text_available,full_text_read,retain_in_submission_reference_list,action_required
1,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
2,active,Peer-reviewed review article (Science of the Total Environment),yes,no,yes -- full detail retained in Supplementary Information alongside the condensed citation,1.1,No consensus on best population-normalization marker,Abstract-checked,no -- not obtained this round,no,yes,Full-text verification (see Full Text Request List / Critical or High queue if applicable)
3,active,Peer-reviewed primary study (Environmental Science & Technology),yes,Table 2 (flow-normalization row),yes -- full detail retained in Supplementary Information alongside the condensed citation,"3.5, 4.2",Flow normalization unreliable under substantial inflow/infiltration,Abstract-checked,no -- not obtained this round,no,yes,"No -- single-study finding correctly scoped as 'in others', not generalized"
4,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
5,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
6,active,Peer-reviewed review article (Water),yes,no,yes -- full detail retained in Supplementary Information alongside the condensed citation,3.4,Temperature independently accelerates target decay,Abstract-checked,no -- not obtained this round,no,yes,"No -- specific 26C threshold correctly omitted, only qualitative direction retained"
7,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
8,active,Peer-reviewed primary study (Viruses),yes,no,yes -- full detail retained in Supplementary Information alongside the condensed citation,"3.4, 3.5",Explicit rainfall correction substantially improved correlation with clinical data,Abstract-checked,no -- not obtained this round,no,yes,"No -- this review's strongest single rainfall-correction evidence anchor, correctly scoped to 'one case in this evidence base'"
9,active,Peer-reviewed primary study (Scientific Reports),yes,no,yes -- full detail retained in Supplementary Information alongside the condensed citation,"3.2, 3.4","Microbial activity is dominant driver of RNA loss, distance-dependent",Abstract-checked,no -- not obtained this round,no,yes,No -- specific rate-constant figures correctly omitted
10,active,Not re-classified this round (unused),no,no,possible -- available if a future round's prose expansion needs it,N/A -- not used in condensed draft,N/A,"N/A (active reference, unused this round)",not checked this round,no,undecided -- retained in source draft's References.md; not yet in submission reference list,None this round -- low priority unless Phase 3B prose expansion cites it
