source_section,overlapping_section,repeated_concept,overlap_type,estimated_removable_words,retain_location,recommended_action,rationale
End-matter: 6x 'Structural bridge from Chapter X to Chapter Y' sections (lines ~1075-1109),"Each chapter's own §X.0 'Bridge from Chapter X-1' opening subsection and §X.8/§X.10/§X.16 'Link to Chapter Y' closing subsection (e.g. §5.0, §6.10, §7.0, §7.8, §8.0, §8.16, §9.0, §10.0)","Chapter-to-chapter handoff logic (what the prior chapter produced, what this chapter does with it, why it matters downstream)",near-verbatim restatement,1200,Keep the inline §X.0/§X.y bridge language only (it is load-bearing for a reader moving straight through),delete_as_redundant,"This is the single largest, most mechanically identifiable redundancy in the document: the same handoff argument is made twice - once inline where a reader actually needs it, and again as a separate end-matter section that restates the same content in the same order. The word count is exact (186+174+130+381+312+278=1,461 words; conservatively 1,200 are pure restatement net of the ~20% that adds genuinely new synthesis). This is pure internal-note bloat (already flagged is_internal_note=True in the word-count audit) and can be cut before touching any Chapters 1-10 scientific prose."
"§3.0 ('conceptual scaffold, not a computational recipe')","§5.0, §6.0, §8.0 (each restates 'this equation is a conceptual scaffold, not a validated quantitative model' near-verbatim)","The standing caveat that this review's formal equations are organizing devices, not fitted/validated models","near-verbatim restatement of the same sentence, 4 times",90,"State once, in §2 (Review Methodology) or §3.0, as a standing convention covering every subsequent formal expression in the document",merge,"The exact phrase 'conceptual scaffold, not a...' (or its close paraphrase) appears at §3.0 (implied), §5.0 (line 194), §6.0 (line 289), and is referenced again structurally at §8.0. This is deliberate authorial consistency, not an accident, but a submission-length manuscript states a global convention once rather than re-asserting it at every occurrence."
§9.2 (alert-threshold transfer caution: a published sensitivity/PPV pair does not transfer to a different population/sewershed),§10.5 (cross-city/cross-population AI-model validation failure); §10.9 (climate-region transferability of a correction model),Transfer validation as a general requirement - a result calibrated on one setting is not evidence it holds in another,"same argument restated in full three times, with different surface examples",350,Keep §9.2's full argument as the canonical statement (introduced first and most completely),shorten,"The document's own Editorial self-check (line ~1067) already names this explicitly as 'the same discipline applied a third time' - the redundancy is self-acknowledged, which makes it a clean, low-risk compression target: the general principle needs one full statement, not three."
"§7.4 Table 5, Dai et al. (2024) row ('a posterior credible interval... is not, by itself, evidence of structural or practical identifiability')","§8.9 ('a narrow posterior credible interval is not, by itself, evidence of high true certainty')",Narrow Bayesian posterior width does not imply parameter/state identifiability was actually achieved,"same core claim, stated in near-identical language, in two different chapters",120,Keep the full explanation in §8.9 (Chapter 8's central methodological point for that subsection),shorten,"This is a genuine content duplication, not just a cross-reference: both passages independently explain why a narrow interval can be misleading (overconfident prior vs. genuine data informativeness), rather than one stating it and the other pointing to it."
"§6.6 (ratio-normalization near-LOD instability, denominator approaching zero)","§8.6 ('a denominator near zero (§6.6's near-LOD ratio-instability problem, restated here in general form)')",A ratio's variance blows up as its denominator approaches the detection limit,explicit self-labeled restatement ('restated here'),60,Keep §6.6's original treatment,shorten,"The source text literally flags itself as a restatement, which makes this the lowest-risk, highest-confidence line item in this audit - no judgment call required, the document already marked it."
"§5.5 (Six Concepts That Should Not Be Collapsed Into One 'Uncertainty': representativeness, recovery, precision, sensitivity, censoring, replicates)","§8.4 (Sampling and Analytical Uncertainty, which re-lists the same six concepts as bullet points 'per the six-concept disambiguation §5.5 already established')",The six-way sampling/analytical uncertainty taxonomy,list re-stated as bullets a second time rather than referenced,180,Keep the full six-concept definitions in §5.5 (their natural home and first-use point),shorten,"§8.4 explicitly says it 'imports §5.0's...models directly' and then re-lists all six items with descriptions rather than only listing what is new for the uncertainty-propagation context; the definitional content is identical to §5.5, only the propagation-method framing differs."
"§8.14 (From Scientific Uncertainty to Decision Uncertainty: exceedance probability, asymmetric false-alarm/missed-detection cost, decision thresholds)",§9.2 (Alert-Threshold Design: 'the asymmetric-cost framing from §8.14 is what should set the threshold'),Asymmetric cost of false alarms vs. missed detections as the basis for setting a decision threshold,"vocabulary introduced in full in one chapter, then substantially re-explained (not just applied) in the next",220,Keep §8.14 as the conceptual introduction (decision-relevant probability vs. point estimate),shorten,This is a case of appropriate build-on that nonetheless re-explains the underlying decision-theory rationale rather than only applying it - the two sections could share one explanation with two illustrations instead of two explanations.
"§9's Table 7 caption + §9.7's four actionability conditions ('Proposed by this review... not a published, validated, or institutionally endorsed standard')","§10's Table 8 caption + §10.10's six-level technology-readiness framework (identical disclaimer sentence, and an explicitly parallel level-based structure)","This review's own proposed-framework disclaimer, and a leveled-readiness/actionability structure used as an organizing device",same disclaimer sentence reused verbatim; structurally parallel framework (conditions vs. levels) explained in full twice,150,"Keep both frameworks (they organize genuinely different content); state the 'proposed synthesis, not a validated standard' disclaimer once, in a single upfront statement covering every 'Proposed by this review' table/framework",merge,"Not a case for deleting either framework (§9's and §10.10's frameworks are conceptually distinct, both explicitly required to survive compression), but the boilerplate disclaimer sentence itself is repeated near-verbatim 2+ times (also appears at Table 7, Table 8, and implicitly at the Box captions) and can be centralized."
"§3.1-3.2 (source-end biological/behavioral variation, building/local drainage)","§7.1.1, §7.2, §8.2 (source-end uncertainty, shedding-kernel discussion)",Source-end shedding heterogeneity and its consequences for reconstruction/uncertainty,"cross-referenced, not restated - each later chapter adds new material rather than re-explaining the underlying biology",0,No action needed - retain as-is,retain,"Checked specifically per the compression-planning brief's instruction to examine this pair. Ch7 and Ch8 both cite §3.1 tersely ('per §3.1's discussion of...') rather than re-describing shedding heterogeneity; this is the document's cross-referencing discipline working as intended, not a compression opportunity. Flagged here as a negative finding so the audit is not read as having skipped this required check."
"§4.1-4.3 (sewer transport: physical/chemical/biological transformation, rainfall/warm-season distortion, identifiability)","§7 (back-calculation), specifically the CSO-mass-loss and decay-rate references",Transport-stage distortion mechanisms as inputs to reconstruction,"cross-referenced only, never re-explained",0,No action needed - retain as-is,retain,"Checked specifically per the compression-planning brief's instruction to examine this pair. Same finding as the Ch3/Ch7 pair: Chapter 7 treats Chapter 4's mechanisms as established background to be pointed at, not restated. This pair is not a compression opportunity."
